Date,canada_cases,japan_cases,italy_cases,uk_cases,germany_cases,france_cases,canada_1lag,japan_1lag,italy_1lag,uk_1lag,germany_1lag,france_1lag,canada_2lag,japan_2lag,italy_2lag,uk_2lag,germany_2lag,france_2lag,canada_3lag,japan_3lag,italy_3lag,uk_3lag,germany_3lag,france_3lag,canada_ma,japan_ma,italy_ma,uk_ma,germany_ma,france_ma,canada_pt,japan_pt,italy_pt,uk_pt,germany_pt,france_pt,dow,Canada_Outdoor_Mobility,Canada_indoorMobility,Germany_Outdoor_Mobility,Germany_indoorMobility,France_Outdoor_Mobility,France_indoorMobility,Japan_Outdoor_Mobility,Japan_indoorMobility,Italy_Outdoor_Mobility,Italy_indoorMobility,United_Kingdom_Outdoor_Mobility,United_Kingdom_indoorMobility,temp_canada,temp_uk,temp_italy,temp_japan,temp_germany,temp_france
2020-02-15T00:00:00.000+0000,0,14,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2.5714285714285716,0,0.8571428571428571,0.42857142857142855,0.14285714285714285,-1.1218858482954224,-0.8367802197936404,-1.1716774882178997,-1.1132595305682698,-1.0749615314411505,-1.0371027719177348,7,14,0,25,-1,15,-1,18,0,33,-1,7,2,19.262200956937807,43.473076923076924,42.971153846153854,36.91923076923077,34.547999999999995,47.35
2020-02-16T00:00:00.000+0000,0,16,0,0,0,0,0,14,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4.714285714285714,0,0.8571428571428571,0.2857142857142857,0.14285714285714285,-1.1218858482954224,-0.7974866510320212,-1.1716774882178997,-1.1132595305682698,-1.0749615314411505,-1.039040123253678,1,8,-2,7,0,-2,-1,2,2,21,-2,-3,1,19.704784688995215,43.27307692307693,43.607692307692304,36.20897435897436,36.21176470588236,47.7
2020-02-17T00:00:00.000+0000,1,7,0,0,0,0,0,16,0,0,0,0,0,14,0,0,0,1,0,1,0,0,0,0,0.14285714285714285,5.714285714285714,0,0.14285714285714285,0.2857142857142857,0.14285714285714285,-1.119494252477737,-0.9798179607474873,-1.1716774882178997,-1.1132595305682698,-1.0749615314411505,-1.039040123253678,2,-9,11,14,0,1,4,7,1,10,0,13,2,20.393749999999997,43.20192307692308,44.28461538461538,36.44102564102563,34.41666666666667,49.900000000000006
2020-02-18T00:00:00.000+0000,0,8,0,0,0,0,1,7,0,0,0,0,0,16,0,0,0,0,0,14,0,0,0,1,0.14285714285714285,6.857142857142857,0,0.14285714285714285,0,0.14285714285714285,-1.1218858482954224,-0.9588449312157528,-1.1716774882178997,-1.1132595305682698,-1.0749615314411505,-1.039040123253678,3,5,1,12,1,5,3,8,1,13,0,12,2,21.082692307692312,42.723076923076924,44.07307692307692,35.506493506493506,34.573076923076904,49.35
2020-02-19T00:00:00.000+0000,0,10,0,0,0,0,0,8,0,0,0,0,1,7,0,0,0,0,0,16,0,0,0,0,0.14285714285714285,8,0,0,0,0.14285714285714285,-1.1218858482954224,-0.9174452024005176,-1.1716774882178997,-1.1132595305682698,-1.0749615314411505,-1.039040123253678,4,6,0,9,1,1,2,9,0,13,0,13,3,22.175119617224876,43.030769230769224,43.90576923076923,36.780769230769224,35.49555555555555,47.45
2020-02-20T00:00:00.000+0000,0,10,0,0,0,0,0,10,0,0,0,0,0,8,0,0,0,0,1,7,0,0,0,0,0.14285714285714285,9.428571428571429,0,0,0,0.14285714285714285,-1.1218858482954224,-0.9174452024005176,-1.1716774882178997,-1.1132595305682698,-1.0749615314411505,-1.039040123253678,5,10,0,12,1,4,3,11,0,17,0,10,3,22.630769230769236,43.14615384615383,43.59423076923076,37.666666666666664,36.678431372549014,46.2
2020-02-21T00:00:00.000+0000,1,11,17,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,8,0,0,0,0,0.2857142857142857,10.857142857142858,2.4285714285714284,0,0,0.14285714285714285,-1.119494252477737,-0.8970148400376162,-1.148062347344265,-1.1132595305682698,-1.0749615314411505,-1.039040123253678,6,17,1,18,2,10,3,21,1,23,-1,17,3,22.80769230769232,43.59423076923077,44.23461538461539,36.84743589743589,36.290196078431364,49
2020-02-22T00:00:00.000+0000,0,17,42,0,0,0,1,11,17,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0.2857142857142857,11.285714285714286,8.428571428571429,0,0,0,-1.1218858482954224,-0.7780935611282626,-1.113743370452131,-1.1132595305682698,-1.0749615314411505,-1.039040123253678,7,19,-1,23,0,16,-1,27,2,29,-1,17,1,22.65598086124401,43.4826923076923,45.0076923076923,39.651282051282045,35.70943396226416,50.1
2020-02-23T00:00:00.000+0000,0,25,93,0,0,0,0,17,42,0,0,0,1,11,17,0,0,0,0,10,0,0,0,0,0.2857142857142857,12.571428571428571,21.714285714285715,0,0,0,-1.1218858482954224,-0.6288193546336747,-1.0452093099195023,-1.1132595305682698,-1.0749615314411505,-1.039040123253678,1,3,-1,2,0,3,-1,22,0,14,0,1,0,22.250480769230784,43.917307692307695,44.44423076923076,39.09358974358974,34.094117647058816,51
2020-02-24T00:00:00.000+0000,1,12,74,4,0,0,0,25,93,0,0,0,0,17,42,0,0,0,1,11,17,0,0,0,0.2857142857142857,13.285714285714286,32.285714285714285,0.5714285714285714,0,0,-1.119494252477737,-0.8767617385233352,-1.0705131688125797,-1.1097532923957867,-1.0749615314411505,-1.039040123253678,2,4,0,7,4,4,3,8,14,2,4,2,1,22.05776699029127,42.80769230769231,44.50961538461539,37.50897435897436,35.398181818181826,45.8
